,value
1830,FWDDF0Z7sCV63M^1fjQ4fHiupE1}<a4L65e2cKfT7PvM52w0rsB4bh01e2dqCA7z
1831,9MQeS?p9di3=JF0jLQA7d2u{1EIaq4C78F6pDz25AF-asM2nuXOb$RPb4W341T65
1832,$g08O7cdQ7tVmnfi?unR9P52E6C2cFsabpqI4prYfDN|5=3;E5$0M1aGsvoz4<24
1833,"G5aslf""S$74w4pJPO74yEXi3t17L-0270jT6H9g3C8fC3m9d6ovaZ6RrS]BqaUcq"
1834,1Bc66;2Dgh734en4ZC4CaA7o2XgrhcMRl[0Qm03Pe89btMn2aNu?31GaR_p1l855
1835,{92W5Em.4Y^j17H79r9N20q5_R2P0o1vekDU(6>eBCEfcerFHXL3c8O)cznz3ZRm
1836,UX965l_43^2ai7aym3R90466IW~i1=11p5dBSkhea;S3P7!u0fPQ0tAK2\tXQM5&
1837,63O3N7FwW641E[fp\tmXml$~50R43Lo7qn591Yde2kMW8GQ2z9rhpvE36yHtADHg
1838,jfzM)0Y1dO08f$6J2b819~61d5vTl2v74qUjTomCpbi-A46[NSy7K&Bk4eHlJ6e5
1839,9Y1y6g=B*CFdd3SAo]1hubB2NBv5r3k6tE04e8c+2EV7xDG%-0pPt5M1[E>g4CTZ
1840,4JL1EN|3Or5T5Ehmpt52q7(9QPs0vWYB8HmRs{7kt3EeyBGd4\2a26r3xxw8I6D^
1841,92m^x?P3\b1n;40KfBKJdeU7jVBqhWd8rlE~YfT7E4ME5Cvx36`w54u21DQ0N8em
1842,dCux~efmO9]A3;JlY|ZsqRNZ?mS7{0P2rA2I6$4dhz856b737FB5&ow152bCDQ04
1843,92^vECD077jeN8IgyabHw05edaZUFRO5z]1jCMOa2{/%!89BfD13q60l4QpL\6Yv
1844,I`z6A1Tk9Z9fw3gz03K}7mFBdH31MBNcie+1s4|O3r&d29bomX2SaqDp2Sc8f_5u
1845,RsW3Q*Z37KPkO6c6gBArjc6c1h69y7TaMUE304xWiBtnU4900CJ<L1p5ee2M8XK5
1846,2GaB00eO3'bW}owEoTZ(r*U%9CCM0nlp4;jY183QU6j4a1hztP57wh48m1S4f08^
1847,rvBAo!391LcJaySHf-JWHw<8`2\W4154UQYAny7QFcD=lhe8}Kd69d1SzM426#25
1848,"V;F6eB2RN27]Q3spTeD5zP46ER1Sg5x0239""r7h5OX893n6sIxcP0@K1Loy(/BOu"
1849,j)UtCyRf1b3zLJ061w}MPu7XN6no2l75fm&3Xhp579a60U12H0V5bF4ZD9E2f0nc
1850,Z2_63nRb2CBz5r1Z0rd:^Ip484\ab05yRmsw9p60Ct3YaD<T6APmQWJ5B1W9gDc8
1851,"4wd6CeTu9}vHUb'&rX19>T0oPfZ70QtHFF5E)fe_dd5gBG""86Y41c3223pfS^CN#"
1852,J32GB521qc4a6JF167sfwk&xOWu9SA50oYTaU3shFzIQ-cA9[027ny8pj8e0hX}6
1853,3b$49vRQ7IS[Vi6M{AE!a6O<CA2`3ePGo9r=1gsIcCRJk1N906bqMK1Z47s7Fp05
1854,P861\dA7C7bA2wSpV'TZf1Af3ob$3!D6VU0rODB-Msrzcih4WJ7mmF18549Wj5C6
1855,WtJwh41>vaVd`CAji8g8AXD01u5-s246917d3l$7$dD!3XeM2o@iYzKBS2fcj3J6
1856,T0>5JyCjiB5I0M2tb[72ru#3K1ofS9VpF944eZ17kH3L28z4EoW3Nt5F3!w1vYk0
1857,Ll3b6loBjTy`O37Zc2B4NMTI13g588F'qA\9WXM$u1bea6FLd^ZJ45tviz6971>U
1858,9%kGJlzc189X1C4cVp2$S8f07nM+Be0eLB9IN22EXsdFb5I4Zt1735t7AmEsrOjh
1859,6Ol3v10BDZ7fwDH894bhI8HkR9Vd/Xa7vfR326u2y^E2CfG1iNZ]SAP1sdMBD45U
1860,u7W2r41ytzMf]263pj3+DWYFZ86M3T|o7ckDKrJ2&oX04UR51hBBnf00eEwpl6#N
1861,lBsz37rU94ZjaS6I`@4G8#CFOEc1A2spFt5M'uxiDeY2pCa6H.7|n93bovN!AP23
1862,aqC9u620FKY7f3eF6?so11L7D0B4H5UlfFvI7_12qpTaz3GNOuatCf4bPJ5C88w\
1863,ZedjDC6f6f3u)+m921]Q}ETag34vy@BK0phob2Ulat9hAF^835060=E1NVBIN5R7
1864,Bsg;QlaCbT6DhNI~410U4ckaZ35eO%$j2M?5UF3yG1c57Co4v9u89^R3GzbHds0J
1865,65f6ht0a7^LZT3e0$xGcKXERj96PK12Uprb\xS75jfPVL1Bz;78o5B+Jc0A2O-mY
1866,2136BY}dOn3zg2jr;i4u5ZAT>2vVWwu#Ey7eph8P47B503qKAMxiE9I6T5Q[cCzD
1867,"gdF<4RwPb35eB.O6f64NGqh1""O9\k32dES^ZiULE|)W8y'7(NbX7po17_n2mV19a"
1868,!08Y4l1DM6A7rBez2Xa7p@RT3npKCb1D:c0V0R|2bEW4s9Qc7q5LyEj1x4xljaLf
1869,`sA1SIaWy2B1PQ18sZc46Fw16$43PFihJAOk7leHtEA56UgMb6n25do7=m.V34bb
1870,1e41eWyD2J6QoWDsLtw2696Fb5dB7tzAmNj\O*Tk3Cj50QN3+8G32h5H~by>7KMa
1871,"i80"")KLm9RFGT0E6q2dc94^3jgD1kt[Adh0qU26zah13s51e\3QD?BnOEXYwGBB5"
1872,ZcAHxIJUj!F8m7z27v56K4g0a6Y3641eEc7Zl2R0UtqbudeX8IDN%2pEfe517DMc
1873,Oh!d$koM4T1c]M8i0wg0NQ27\I4336B1BXS95ueWs1ccU.&JAi;76fFB~23HJ59F
1874,47ad48zCjP1WnL$0h&79Uq5ZbdAD'?6L0BOyxv$6MYk2PuHyDm1E2f(c7*gjq3w5
1875,5La(ICb56|X41Y.GTv82~Ln}xM4p7[btw62EQd14r\:3Ii^ugc7HCj0DglQu6ed9
1876,"S*M&c{4Y28PpJ1E4-4""aeF|6RBYC5xFavx2XAs3J09DN77iX5~H3q10ZD6Vg7_hz"
1877,"V57Qbz""2f5cXE01v7gDe3FCH2[4J@Z8qDA7Q2T1{cG'\PbiBRl6ZkhUs9u>W6^6("
1878,)49v79CKUp3V8$_w=ejhPH83C40@LdJ/zyO0bUNZ5f7|kDEb3LArP6txQ21VD6i4
1879,"i0AE11KL7qqO6-kl?mob@wgUz0u0p3x7$ZOS5cc9""BhGVa8l3LZ785yh26T7EDD9"
1880,6_D+M6QA1XdfWTH]1R3c404A75ve05FK0hf6aB21lvLtE7`XxZ2Huzq&2BS4wbn8
1881,"2PI0B185[ii496WHR7AdEP}LFkOgNTZDue8Do""l72yR032qa]4vcjBT5cA71Gzh0"
1882,L$C3gxL6cZHnd621w7ew4BCsT-mthm40Tc8c1J7QKG]S4~jb52F23EU109b3}XRo
1883,80u7y9AfY5701)R5]2mqa9N3UanIS86|XO38DUZV1Dh+Wke44b5l2MjrMH2TqSCF
1884,218t`9d6T9IbT2POHe3rv5zCcA3V=!-7Zo'42jr]lsM0VBf6w4luDb4i|71a0E0C
1885,UxO{G3461DcCM1^iBfq0)o5U265BC1gKIQn7p6k4pHs53eyS9FdvtNPA2%F2i0;j
1886,"feb31Q7X7nd:4W>b8C""p7qx]iBt51A6V{6chHUw5#z8I0dPSfVOJ2u\639SF}NMC"
1887,0eDf1j1ROsMN<zZ\V+4tjAV0aRE6$7t6E*99[h493P0q8Sl2WFp5e5MQAU5D2xv4
1888,vknzifsqcmbjVKOFHSLMXUQYpCyWdvbgeqAO926356032797b54C37aAEf!:.*]>
1889,6VH<\Af6rf52algu9eXIK6#$QA4X@tT7savod3*'Mnzc49SN41U3W8peCy285>10
1890,fDHIkk$3^sd/wXgJxnr69a>i61.Bq02byb8Y[AN2qj'zC24QND63AEZcl4751-Ia
1891,Ad7Bu#/46_c4E^u8RvC85w14M05bXxSeH`bE26S83B3LyoL0o5kj6J2|5Pcl2FQJ
1892,"71m4balIlA2""N@256A5TMI1BYtiVsR36Pdu369EcS7B4;9J0WD2t8hp7UbCs[dbO"
1893,yW7ET2sHxd44[HLE3nh7691UZ6N8B6AfG22d0G%iJ18vwAF0lel5qoj5Qe9N8V7q
1894,Il3jEq6ml6fv2iGpEB9BsP97mz7R0kFOM+a42SSyF01JLtW&4dF5bV8U1Q26dd5R
1895,vCAoF1Y{oO\GCf}a@Z78K7Q3k4$1!pF2xU6;ezSr#PEsN23t3Ts275fc985m0%0G
1896,uiirGhG9gS39e8BY}mO9N26B37F1]/W6ZF2Ry-3jz#p025X515c%{fcbYnOQ56gP
1897,V>0mD3cSxFt4PU3z}W.fO1As5X)17H43DF12x-E4LbEq5v6U6BfG8Smb6Xo8Y29l
1898,n^5WpaF69#N3dnC0j1AID4k>5QYd4fM&kt1KFTGH0RbgZ37o4{262]JBb8Lcm1mz
1899,nmfFmxC248oWaDO7]yUs13pu710EA$SgeV*$7i5BHu5cE29vM-oPV36JY5kF4A40
1900,00Za1SYf6yEeD3u16^E4r8plKif005@v7gcu65Ebb8oACfBeT7c9LR*r27_PQ\S)
1901,51IZB$d'ZKUjsA59QRwDue)JS4P4XwfzWx03Lr283Jg60A2G.I19X2Lc6Ef;e24>
1902,65E5422.6Lh1MvG99f{ES03y[6NmJd81wlYL5G<VzqMB3aAn4xfBqet7nbK3X0HB
1903,"0a3y-""me9DGjrO2ZAB8IPY|K7Cde]w53<Q2ZkHb7gXW6c27judCBF5b851t7zhA0"
1904,e<pi70V6AKA21bf1628zZE.c{|BB54E5Jgz42*PF94vCI3g8nhmmD#T3uDAbyr~D
1905,D1KZci@t07Dgu5R8JyZ7R*{Qek9+/Gg31xy7!]3n00>qPLMH664149$2EmE65Ttr
1906,UQKa79NzR}=12gsF0fFB03H5Y6xJ|X11Tlh46E76E18oV39sLAEND&hmdv4ulRn\
1907,".PaFiK/50DUcWUEk2ED7'nbs83412rQ1x7Qr6m54389CRYeLtGBJIR""z(_onlSdf"
1908,7-ClMqTw:jBjAl431^6amek0vy08dsVW33U/KAhg26guI0=8cb2y.CNXzQ19J7nY
1909,4Ib#5n5w7EUh1T36BrXg-4G1Scb8\Fd00QcAEG8OtB0l9H<2!9311Zqx5f6sgOpK
1910,"6a^pGfE\brDkU8b[~Kw0w23835B""hPms5EfPi7R1b383FZA94cgtBMoTZ!4672Ce"
1911,XY{BQFw7Bk01DS18CE6!@Yg^Zm5svi2e$=eb18ktQL4;Ih(349SI3DT5E50U6y2f
1912,U%Suav9Xe`5y2ZqL3k0&mMA4cO<9uHKiCEf5JBj/j46Aoip;w1g686>27B0fR3ng
1913,LZU824IJ171r5WegzpA]np4Q4V!>7E37FdH1t4vD02d9dlqXK=F3}jx{B5165Ul9
1914,hdp1bMF-5zO0Zg2UeHExyre9091Y56AQLnP8g6q7SwCb7DTC=3ynx8tjcz4:337;
1915,r42F)YMZBOG6f3A179zhWw1M%4?jqtlk5SEefi403<Dos46ND295T9jPg0d2N3TU
1916,"PE8.CkDf5veIs94i6fdu13ePp4qq&jcfoCa71K2dok533V6>B7bF""UR(L?27dHmY"
1917,00E*Uf3Cf6!u68Wq\Zzzx7a42p44mNfACH0ddsx:F98S8#Ytp9j3CgG13{Z%5B2R
1918,xOjZ13bf7w}7z4cyNQa9M9n(hbu85dL65286d6F2{07CatGDEqBw0dvf?PqVBXYA
1919,eh>28EoUuw(ap#9/s4LS1O75+G483mz5NgBqXKf69j0i1WVf_6Wv3Z1kbnB6xXAT
1920,Adl172b0l6Q'5p9gHuEEZEf1xI06~<1z4e3YG7C)i2UB8AH!7hvDhNc5d5DRWAt5
1921,0h4/EP2o.alF9rCcdK7MAW'g569eONQ0Qdm7{442kiXtv63;pVG87ZNG5wC1Ic6D
1922,22C7IeYNi7bmaEzCd&dL6/3y91v<Y~M8@F>3cevKj}sLkkV2[7!6l506DU0s3j14
1923,RI8G90er%4eBe:c1BKi12mV2ERV#~fcHkFgbUo56|Lby5M/4a<x;J60GXYu27303
1924,0fx6sT]2OB8334u[0g6x7O0K98'Sc65zthIw14AgldElwh3rk5D2>c1~1t15HzGP
1925,iZ=Jr:e463qiMl66p0FE<k54`]TcfU3o~daIG79a5Ue247JayBgtDf0RNQ12'89N
1926,"sgn52WpOX85<V""Dh[ef4x2q7IMbM1Fl70sG3Tg_j9B667FwAYfyxO6AVvC1o13Xc"
1927,=9YbNM6b0dBEoDwfX[4U4N64p35k17in1Kktt2pF870392WF@C\dqaTqz8ZMuOA5
1928,WM153Cd8997k72VOr78YBV0SlneODTWM56h4iw5l8DfvaN4xE0j~yUxKU9c6QZ.b
1929,a+K45uHCh@2c5sf8Y$VXM83642X3T}9uaQ17qce6LI/n$gNGt<577Rz0S16Z4V5w
1930,P1`pV?45rDB5ks23U6SY3dET421aCpHu95fUL1/39HN0Q1[_l]ti6L8vP2zun0JZ
1931,4AP403eF%KUAYvsa9C65rg0:_p5Zt7304Pl?5Eu1215[k6zO9JBdD60qXadAgs(I
1932,65C95Om\waEL8>Bo{ZHIR9Q43fF9CA7U32MEp4~2!^l0VEPb0Tx4X1Y1q)Hisbe4
1933,"vVnMr""5c-@9%IJ.fHP#57TO]vt=AN8Z32Y3/7aW}r2b154O>xXqoRFhe8C460u6C"
1934,4P1+rto47N=n4Z8z3[j0V061Wbzc57LE9FFaUScbo^JYy625X9Qh2/sMT|2}AK8L
1935,Mj5gC}uo4FDg3F`y]H5A28Ob7_fe2GkN4VqQE18s4ld#DB!6dFrZ963Ui3Yw62Hv
1936,Q(4DBH3646TQ7Dt70MC-EvoTs71J;Z5~k^23VrhRRlF9i=2xkcIY5ucz}>dfd2He
1937,016xp|5AEw0*O4Bdw7cbyeLCj5<gMnto1vxdsh3is7GJK8Y74P6U483W922pPf5S
1938,Z0OnH77:5pldqh%E646Qez}i28?3H5E~CFsu.BecCk*2f9B6z1M40Tw5eobtSPhv
1939,"12lSK7427Op4to64Ej=9D634eXe5Pk1ZhLA{fbV3Udy3Dft0emjvx5""b8(f7MX2u"
1940,QPNCj0Kz4vzE7D(150Lf169Bclb|eCobiy`83Q?u47)GxW63R8e0GSM<FAUw5n7A
1941,q7X81Lct2Qoc5RJ$+abO03Ze4fx4iE!9Qky%6917KpgGqb2zSFsBa6jM*5Lf0agb
1942,"IhTYZfY;e2je35E""Gb6*:Z0Qz$5MWF17r@sC461q8HaSbl9Aa27XdcpKC7{Md5Fu"
1943,"2-Qo(4X67d32FCjQuKgaDs6ywi705N3U3C4)B54cAb1M}u3FwFzk76defp9~8r""p"
1944,7f7D87I3R[Y4ht6yMT091bk6r0Ui14BpnB2s5DykXScljFE23wA98NW$c<dcvg0H
1945,71`e1Bw5P)W#HI8ZPjEfFMa1C23Rqn>0vBo32swgc3bA9i5DGnXmhRr096QIC654
1946,jDaqd6{zd%1e7Kr0~4D85aS^QmAH6W49XnN7C0hc31O2TAyb0Icx5<PFiaeR1C25
1947,Ove9E34k16^BlKMYc3fZh1iDG~sS5<846a}4#=4F8s07CjNwFr2vRx26he5&G.ab
1948,Ut9#R53v/4S29N@]Z86=V28w0FE|\rBQ51O2Y3J;74crfByjixGpWcbqhE7eR0tA
1949,tbypcn2B01aAQj>z92[86AK5q<Dv&OZ44r;07$Ly82#3wGr5R3H15C6mcTR~DLau
1950,AasTjBUbM5tfX9654y74O2JWxh1D7<3rfH1S1b74mHBdc60fo5R3nqLg4Z7Pzz2Q
1951,56`gz4M1$5t6qh6DPV1WsxE22CU0mc35Q71H64]bre20BcN0ya^7h&7vnPx4cdvT
1952,db5&KHlGo1X'Jd0qAN@l86Ha4aj~QeI9ZDsmS4Aiw;3u785<BFZ27D2b67ki0sf3
1953,3C8QO27*5fDo1uefIEBM3eF$e9g44VGL0[720sjE615QwUhtCiFhJV1mbPd_2qA7
1954,"JczcveN7DeEkL836nfv51|6RS2Eh41Ej35=9m7Q0bCOepWlYt7G3S91ZiTAcMl""4"
1955,RpB)LKaG?X7B8Fr3t2]534Y4dAohjZ\mCxF93zP565q6Lu2Uxs3uc9D4eDd4k01A
1956,CaCg1<MZXSR}d4zB3y6s>J2ms7DB1U9cq'7M853o66V380TxIZ!en355Tf0Ff04K
1957,7P1dX00MxmS3jOaC62ku73W89e0hDCnf4J]Yodwm6ff7cQ#s35qK5M0211n_c53G
1958,mb4Yo7fA8F3TBz75q02wUu%0dJ0{CdlROtV1?YhGKne6gbE156c39Is21D23aGWX
1959,87b27Jyt&8UD6tceTv7aX=93G19F1z2OAiDexp0n<3QBER'Hk^2065HWzn2oIY0.
1960,_h82Dq=iD7kgaF3a2#51h704fNqENv^6JxSJf9236yDeH7X8YlIoUu1y1Pp|Bt4.
1961,6w4BDSD62D:J0801x5Afc9lX2TvE79s1LE1'gJTt4dn4LWcXiC{A1+0f3?F]qbbV
1962,26ub0V5t7;k13pel}YRjvx3acd52MiQ4ELGO40?n|#4CDDf(WHIF.e609>u86fFU
1963,qBs4X3DH6$4KJ&g4NdzpKu7V[5v8ee8x.23m9@GC53LE61b2L7fC54Si5dZBfQyN
1964,mo4b10p94c6Y3HGc2v7e58g_#I78oE.bOwnUcTt1^A5uP`9VWd7AFq0H0KC1C2wy
1965,"e*E8Z5#rJfVf8AEaw3p4gb12VbI4E7MA5=SXBtLuS9yYd4m""q76uPj-6QiD23b9k"
1966,5aBb:ZINTd2f903lh7YW70V5meCSD1if6P4edAF22Xj327n6TULx44OQu1iR3atv
1967,"AC""IRd1vSzNGPBF33E3<{O2040p_T!40K1kaKX29B89}H7b81lq2*e9/abo7#dHu"
1968,"XV0NYe39gS_7""6Z5>=W1fOHu3Xb7GL8Tg5z63c2n4Ure|cqHwS9b7L#ia51^6p5x"
1969,"x4gbE126B""6J8hlhs92z<qre3C2K3Q9j0eE>76G7TA7mu8LFNP1VagJe5Z`47uSK"
1970,92bhGjS`I0Da7Tc84v16fd)UE5k3@o]2VmY45rt8$RAx406eHu5Tyy/2QYFqCCsN
1971,";fc6X3~6Sy6M8e$1Lf98F17Hu25Zp""02M3^946Bb(1i5WT1gD3sdm4PrIHCk35K7"
1972,B2Gdr3hta2hS9nJw78ld35A5gQa4R%r91vDCNSXLeITTAf7oBW1+/sq6[010E63f
1973,70icCw894p5FSiQ#994mn33v2Hxgfd2sHO]G1+Vr72EVb301AghaLcZP3sNT1o66
1974,"hD1170N8WE%6Ba4a21rqbXfY478zdfGgH2EOi5eyF52""wivZlP10sx6SR$LCD67C"
1975,"wE=9C5""46b61C(Bfb.q52DNG2p%OGDm3eylh40Jk!3HkY$?3si81WuxdKa17iMoZ"
1976,"qg`n73EA53nNz""xOeD?5s$QF21B1T!6RvpqL8|144p=7J26WFykc0PuxDt5w8U9>"
1977,"5z5vwW#aAP""401273DoZ4qhvT*6^Rl9TEQi}mrs2Ff2DLD80G[L7CJdKF1ycES9d"
1978,1dZ4SCD47k0E2s0aT[0e2FdueGt#v63P3O5W=5A$y4bJ27Q>?bJn1bNW8S6qglxB
1979,6:|4c3p9DK2MbUq2a'BT0LBA5Z70Ev0586Ny3WYrf1C3fuYFJF4_C5AjdNsb1z84
1980,xI5dGtCc3e51fE6HS{C3sJAQgpLc92Amq+650Zbxw5Ry64[7cr11di0^9lLv148O
1981,77c8TDSvX6vt01oCMp369X9ihW5lEHN(sAG51jmlbuV[?xqKO3DY04c6442WOC1P
1982,>Ucm3Y89v$Rb_o91gP3lzD3[k4ENQMAfszKN70PI520V775ItHFUuf8(eieT0r6h
1983,4y0GHun06kS93EtD(1OFb36}A2waAc5ItJ8gZ7lo8XjmfB7NdaX^KFd4p7TP15'4
1984,K6at_XL5z-A6bSt2FURZ1E@M4drOR1{k8g54EF2cZGxe$0q&837fn|!39P64L*HK
1985,FRC5N|O602yewd4E7vkl3Wcm1RJD18aBedC$tCb06P>nV8LQiAi0)1h4k9#36gqo
1986,g5i20B|C43[6MF37Zuhfc1I824ydTV9KF47bL5luoZ?Uv8DrHW'o1AqsE6U~k*Tj
1987,"hG1Uf6L7K4Ih4XyB9DS4sTNf2""ce|7Ez8tyu}6eBu01kC50339W2dRmN2?x'i6e>"
1988,2cWp9h7AC0M=02v23dRlxQuT'>37c0nL6G6/3S9_63OUAn7?5yYFs5Q9oq1}lp45
1989,ndBcGCu4YEIT653V5pOxNy>feOwDc71je01md488Wr08VtFcREA64X9*2y2u35=E
1990,"4sl{48AtJ2G7C0wVOh7fR.c03Mr73UvevC2\u!5H;""MsY55e19B69PQ94pjdXIpU"
1991,fvH685eOa5x*>7a6FM20Rt4j9LEL8=7OCU9I6grbb^1fENm1SPBq0niV2s17d45m
1992,X;6phR6IyA8P3QnCER2WcS7c04Gx&JT8ZEn3to5v3rB\g5Ga^6w4721C9S0Hh63d
1993,5KrmxHPD5z9C=}1[Zh7V84EwLMs7ERGBwAe469e(Xo8E?3c7DO0UU9kty3j7DC23
1994,"m/8s2EBduq*26vUegz)MS|.96`tRaBrjy45L8ffZNT6VBJA6x5{2o4@9YG797Q""w"
1995,!irFazh$87V06Dr451IuyaXFm\W21Z5c7q3ACw>lHp9N32v;d*0mYQn92OBoE04x
1996,e:3po5re96dF$Gk1aTlz`iCNeZ50ad2L0qLw}VMDB1k0p1c45o7y24671A563XB9
1997,^izSU8s3r0Rh9y2a1{4tDY1H*&2K5'BO64-_JbV21685jBfcDC3p5nQ7g3cAgHCZ
1998,xj7X70PtWMO4mR25hB#F93NDi1QvQ3G6f6VdMary8=Sn5X4EJEut402dko06Du9!
1999,1UfSh3jdzvQ4w?7L8Z|nru4vM}7)78x2KfeDagw1BfN4FoFd=$o9O532UQA7y3H1
2000,"FiQzH1lpaiKAe4b9znLDcf4(6]*As""w1I3}87x?0WG3{86x5y52^#g7l5a@YDbBD"
2001,BA;d#cmeU3.yj7PsB7Lff1Fq40Cr2Fcp9828S72gI51eTvQdqBrDViTZ107HG5N0
2002,"a092$s4(D@!UL80y1377R5g50qdlWv8f<O#1HpI9e{KXnjBke""cMrL:v6cCu10bV"
2003,cCOm4924$0456H|nm6A<xfE1jpOXND3rY7ot}JVL975zTg27&DACP20dfsZeD2u3
2004,(7}cAzF2nU1P6K0F6xaOo24CFexW6D<BygDb5.Pf3H5lR4{s1]pE$9f20G6h4Gyq
2005,"j3LDDT^E<9ZMe40\52Stzsrl50{i$hZW62""gF5f31eYV48d5a1d|nsB6EfF9CS1`"
2006,4Jg&11L3BazpR6aCw7m4E22Yc5EeWIehZF<@T5=>c7%ts1p496{X630vM8k?vCz5
2007,ut7e17{LWk9^o4d5hI3BXQpHFq4COaK2y37e5J8q1g4KA4PS66'5Y0wRAk8Z6EJV
2008,kJgm;9pRZrK{K2anR`s2MG3jA>B1fvD1g6B5cp<V45D!bty29#Si640Cf08-=73C
2009,6syvHldA7r{Ex84AHTud5Oc#@Vn_Zf3kp091CBG}X^`X0Io4taT2E6141-qDjD2?
2010,AVAfutwDdyk6F267atN?F0Anmn1a2@96q15B!bol&W1#(0Ub7QgJd{z>e0Z3E8M1
2011,v7f}3arO1c71A#3f3RHk5[VIxp1o8nE5bBS)3KeD4z]0dhDF:8bFX00056nKjtda
2012,cld4Z7c0iD5kfEy4A3tF3057O*61Mn[H]7e1Ugo=Nu4yL?IhY3u8rfXB0`6R;2nv
2013,ME)5c66!BZowJ488X7ezdr0WY2faTdC98UkAa07j5DfHuv3D6FvHtqCB1c9y410x
2014,":DjVRa;J3Rp72bz27u?C31]X6""l$5a4457mG9Pm!Qg0w1Z~If1&fUWYh73B6IjE6"
2015,"^JJL48Rv5n8r2475\C%jZfGEdB49WkVwQ(MpN_ZSXsH)3S3""12Ahf0Yd51+769r4"
2016,C_)V670x4kTbKBY55y36Q99Jfc3G7XC$s30@aRm#I0184pbqCON!zwFFyi1+Ufu2
2017,V4ZsgNeAh2kWX%5u86HtR3)QkJ_eaFN1t0v778Ybp3S61P4CT2FxIOa<52Uvn$B9
2018,08zt4ESG2Pg20eAU1P3bxX'juV956mh64%7ZfveC8ogTY13l\RN<Q>r1M2y5LA5D
2019,|WB3GtHfn306wfh5LOauM8d*3084=D#i1Y5&Y34tQC12ZE/7FqA$cN49O52yS1Rc
2020,P7ZuBQ97GbF^AD3264|cn8U~r1uJVfbKT06H1nwkad2QFt74Ce84M5ar295q1Bbd
2021,G\QAP2N11Ga;ouD5c3rXv8J0x4ZUPL2cCWBb5976e9yhH43d}ay6wfX3+7(68>RC
2022,;@f5pAwkJW4Ag900Ld6DwV4Z5j2Ez=>373s|C3fqubx\UjWz1gMY40:8S.vp7665
2023,Ck2W$Ag.a]6YmnU4s70eo@d3Fz5W2T+C0I79%8vfR#4B$xv8D2uS76[4N1L9Mb3l
2024,MYeedhzP1DLIB4'6Ufl05tfRZ1d538By295-2a1Dg{LpSO3=WHij00|4QuPN7CTE
2025,5b:0K)b5%Tn6i2uERNqFXQd~06P7H1o4I19FJ;Yg8i7<m91zjc45TQY8Hfwy+2^z
2026,"bSh4FHO![A`3n9$6Dcr)3""T(DB0alu2fsYI7yZC5vWUK'40f6eMQd85nvxO71B0g"
2027,6(V3w2jW9J1Bs0buexbqSL6ePrZ!27AcE>SNaE423dzGFofy2B9C8Rat717qavdH
2028,yBdjzi1O66LkC6cW2EU1W0C15Ae2GgCa9RVO7375Lhc_7AIxtJ850*/02%oJZn5f
2029,2hNQK4a3B9N5T1B8695|kxf\pf1quv7F5p6E6Grahtefb0M2oeR9i13Zt6EjV05D
2030,4541HtM7DJ0vrdU)5E3Z1WJnoC^_A2.D2Pjw7y$15oBdFEOg+`yap76Z9C16?aii
2031,"kj35uODQ/N4Z{8+""Z70F21tCaX9B5dGhl63&Ey6du1A3A^$w2049salFRYOz%GmV"
2032,mitN66}(gu_h18iVCETnFPB0XDaQtL35S7C73fA+NHg4%y;5Aorz42v8.dI1[20e
2033,m1kQOT2zGHBw02BE65rE:Ia70*4NPM1LAuU0p93xeta6qIZW14W5y96F8f#D<VZ9
2034,0A5>28lvcj2236pBohR76B86zZvUFij)q2LDHQ+zb4<way5oK60L5Y]4V7A7=7(D
2035,.1CVI3pbPzQ0Bnz295|h1c#CH2dV8f51Z3TZFS^6oc647SdAqEBpRt21Aqa2QY73
2036,)S78B3b65IHMyx2mOa1k5APp2tnDp@Vr97q10dqa(46wfj40QJwD0L6gDTK9KV8g
2037,79}4ixbC8613m>1M2cjEdID7e2utU^fs1?w73B|VlJIL6NfWpcH8Cl0qg3i5Q0Qn
2038,SC4F2Y5B2PZa0c91BTQz730uvDaSs$RbpA[X45d90gk:R45y53A46zg6D-*7XteJ
2039,lQ5op(uz+4873W6G1aYyEZncKdJ6!q#A5aBPd0asf0;ibFvEUfZ973%1X_x24A&2
2040,g4Sy4H3167A<vPbOcm07>22Rd5z^7biBCaZFTD2fObeAG416o3dh5%3U!2ExH1@M
2041,B0pzW2q?a3<rAP4v6D7Q7F-fcZa2S4A5NE48O6Wfh5{Tee@uCR;503^1n[w9HEEc
2042,1-yd|TEU7WFIV4D7Pw#zN>V31nn49*iC5Ux6a4sse5G03zO&025hec4b69]aSxLb
2043,VWDA\VIE51D6ucgnk4#05aLO$4ao8|~;rbs2X)9z<M_R3GH5ceX7F1kn326Sm610
2044,qou2KF440771aT13Ed)5O3SE@G4;896r66<0\L#mDFrHtZJ&2YzhSnNXoCOkD2JF
2045,GIDEC1n2W&Zi95Mc33baoq7]g16cO4[5`|2Fl7$1ud4~6T7z8.zK-L2feRLumJEy
2046,8CzYDPKh-Q9aZBmSC5&13;95B6122$Sx{cmLEqu0nV*iM47e4EzC8yfAb332kfH3
2047,"_1g8AQr:V32ca6Bm[hbyS57n15p2MJs8fiKT#""x73F0/536ZD0rG5vk64MY1CDil"
2048,`c0q-dLXT24bYuxg08w}#bDj^!zACp51w6xHGi34g4Y6W/8fRN624bS5D1aAv377
2049,R3823Dz7W@0JKv%O4LwP_4)p45F9Dt1S#aT7xm|aI66XSEZ49cbn5wsecL3fNTAC
